"CBSA Code","Metropolitan Division Code","CSA Code","CBSA_Title","MMSA","Metropolitan Division Title","CSA Title","Counties","State Name","FIPS State Code","FIPS County Code","Central/Outlying County","county"
"82","11700",NA,"120","Asheville, NC","Metropolitan Statistical Area",NA,"Asheville-Marion-Brevard, NC","Madison","North Carolina","37","115","Outlying","madison,north carolina"
"83","11740",NA,"360","Ashland, OH","Micropolitan Statistical Area",NA,"Mansfield-Ashland-Bucyrus, OH","Ashland","Ohio","39","005","Central","ashland,ohio"
"84","11780",NA,"184","Ashtabula, OH","Micropolitan Statistical Area",NA,"Cleveland-Akron-Canton, OH","Ashtabula","Ohio","39","007","Central","ashtabula,ohio"
"85","11820",NA,NA,"Astoria, OR","Micropolitan Statistical Area",NA,NA,"Clatsop","Oregon","41","007","Central","clatsop,oregon"
"86","11860",NA,"312","Atchison, KS","Micropolitan Statistical Area",NA,"Kansas City-Overland Park-Kansas City, MO-KS","Atchison","Kansas","20","005","Central","atchison,kansas"
"87","11900",NA,NA,"Athens, OH","Micropolitan Statistical Area",NA,NA,"Athens","Ohio","39","009","Central","athens,ohio"
"88","11940",NA,"174","Athens, TN","Micropolitan Statistical Area",NA,"Chattanooga-Cleveland-Dalton, TN-GA","McMinn","Tennessee","47","107","Central","mcminn,tennessee"
"89","11980",NA,"206","Athens, TX","Micropolitan Statistical Area",NA,"Dallas-Fort Worth, TX-OK","Henderson","Texas","48","213","Central","henderson,texas"
"90","12020",NA,"122","Athens-Clarke County, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Clarke","Georgia","13","059","Central","clarke,georgia"
"91","12020",NA,"122","Athens-Clarke County, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Madison","Georgia","13","195","Outlying","madison,georgia"
"92","12020",NA,"122","Athens-Clarke County, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Oconee","Georgia","13","219","Central","oconee,georgia"
"93","12020",NA,"122","Athens-Clarke County, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Oglethorpe","Georgia","13","221","Outlying","oglethorpe,georgia"
"94","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Barrow","Georgia","13","013","Outlying","barrow,georgia"
"95","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Bartow","Georgia","13","015","Outlying","bartow,georgia"
"96","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Butts","Georgia","13","035","Outlying","butts,georgia"
"97","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Carroll","Georgia","13","045","Outlying","carroll,georgia"
"98","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Cherokee","Georgia","13","057","Central","cherokee,georgia"
"99","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Clayton","Georgia","13","063","Central","clayton,georgia"
"100","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Cobb","Georgia","13","067","Central","cobb,georgia"
"101","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Coweta","Georgia","13","077","Central","coweta,georgia"
"102","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Dawson","Georgia","13","085","Outlying","dawson,georgia"
"103","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","DeKalb","Georgia","13","089","Central","dekalb,georgia"
"104","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Douglas","Georgia","13","097","Central","douglas,georgia"
